ovn,tlmm,food,vial,block,geno
32,1.05,0.6,79.2.C,2,S151
26,1,0.6,80.2.C,2,FSP5
21,1,0.4,84.2.C,2,RR6
32,1.05,0.4,85.2.C,2,S80
7,1.05,0.4,86.2.C,2,S166
18,0.95,0.4,87.2.C,2,S151
20,1,0.4,88.2.C,2,S179
27,1.05,0.4,89.2.C,2,FSP5
21,1,0.4,90.2.C,2,FSP34
23,1.1,0.4,91.2.C,2,FSP25
13,1.05,4,92.2.C,2,RR87
23,1.05,2,93.2.C,2,RR87
29,1.05,0.6,95.2.C,2,RR87
19,1.05,0.4,96.2.C,2,RR87
20,1.15,2,98.2.C,2,RR22
32,1,0.6,109.2.C,2,FSP34
10,1.1,0.4,110.2.C,2,FSP34
22,0.95,1,112.2.C,2,FSP5
15,0.85,0.6,113.2.C,2,FSP5
29,1,0.4,114.2.C,2,FSP5
18,0.95,0.4,116.2.C,2,S179
28,0.95,0.4,120.2.C,2,S151
23,1.1,2,121.2.C,2,S166
15,0.95,1,122.2.C,2,S166
19,0.95,0.6,123.2.C,2,S166
13,1,0.4,124.2.C,2,S166
28,1.05,4,133.2.C,2,RR31
15,0.95,0.4,135.2.C,2,FSP25
34,1,2,136.2.C,2,FSP34
22,0.8,0.4,137.2.C,2,FSP34
16,1.1,0.4,138.2.C,2,S179
24,1.05,0.2,132.2.C,2,RR6
23,1.1,0.6,144.2.C,2,RR31
40,1,0.6,146.2.C,2,RR87
38,1.05,0.4,148.2.C,2,RR22
22,1,4,149.2.C,2,S166
10,0.75,0.4,157.2.C,2,FSP34
37,1,0.4,158.2.C,2,FSP5
23,1.05,0.2,161.2.C,2,S179
25,1.05,0.4,173.2.C,2,FSP25
23,1.05,0.4,174.2.C,2,S166
20,1,0.2,176.2.C,2,FSP5
18,0.8,0.2,177.2.C,2,S179
11,0.75,0.2,178.2.C,2,S151
21,0.8,0.2,179.2.C,2,S80
18,1,0.4,39.2.C,2,S80
45,1.05,0.4,41.2.C,2,FSP5
31,1.06666666666667,1,49.2.C,2,RR22
47,1,0.6,50.2.C,2,RR22
35,1,4,52.2.C,2,S166
20,1.05,4,55.2.C,2,FSP5
28,1.05,4,56.2.C,2,FSP25
32,1.1,2,57.2.C,2,RR31
24,0.95,2,58.2.C,2,RR6
13,1,2,60.2.C,2,S166
17,1.05,2,61.2.C,2,S151
22,1,2,63.2.C,2,FSP5
21,1.05,2,64.2.C,2,FSP34
15,1,2,65.2.C,2,FSP25
27,0.95,0.6,81.2.C,2,FSP34
30,0.85,0.6,82.2.C,2,FSP25
17,1,0.4,152.2.C,2,S166
19,0.95,1,153.2.C,2,S179
17,1.05,0.6,154.2.C,2,RR22
9,0.8,0.2,162.2.C,2,RR6
13,0.95,0.2,163.2.C,2,RR31
23,0.85,0.2,164.2.C,2,RR87
30,0.9,0.6,165.2.C,2,RR31
20,1,0.4,166.2.C,2,FSP34
9,0.8,0.2,169.2.C,2,S80
15,0.75,0.2,170.2.C,2,S166
13,0.8,0.2,171.2.C,2,RR87
14,0.9,0.2,183.2.C,2,S80
14,0.95,0.4,184.2.C,2,S151
17,0.8,0.2,192.2.C,2,RR87
16,0.9,0.4,193.2.C,2,RR22
15,0.95,0.4,194.2.C,2,FSP34
7,0.75,0.2,195.2.C,2,S80
12,0.75,0.2,196.2.C,2,RR6
19,0.85,1,197.2.C,2,RR22
31,1,0.2,198.2.C,2,RR22
20,1,0.2,180.2.C,2,RR31
8,0.75,0.2,185.2.C,2,FSP34
10,0.75,0.2,186.2.C,2,S166
14,0.75,0.2,187.2.C,2,S80
7,0.4,0.2,188.2.C,2,RR31
24,0.95,0.2,191.2.C,2,FSP34
24,1,0.2,199.2.C,2,RR31
33,1.1,1,200.2.C,2,RR22
13,0.95,0.2,201.2.C,2,RR22
13,0.8,0.2,202.2.C,2,FSP25
12,0.85,0.2,203.2.C,2,S80
10,0.8,0.2,204.2.C,2,RR87
42,0.785714285714286,4,1.1.C,1,RR6
36,1.1,4,3.1.C,1,FSP5
43,1.13333333333333,4,4.1.C,1,FSP34
38,1.1,4,5.1.C,1,FSP25
32,1.06666666666667,4,6.1.C,1,FSP32
39,1.2,4,8.1.C,1,S80
43,1.06666666666667,4,10.1.C,1,S179
44,1.06666666666667,2,11.1.C,1,S179
45,1.16666666666667,4,14.1.C,1,RR22
48,1.13333333333333,4,15.1.C,1,RR22
41,1.1,1,17.1.C,1,RR22
44,1.13333333333333,0.6,18.1.C,1,RR22
39,1.16666666666667,4,19.1.C,1,RR87
38,1.05,2,20.1.C,1,RR87
44,1.1,4,21.1.C,1,RR31
39,1.06666666666667,1,25.1.C,1,RR6
35,1.16666666666667,0.6,26.1.C,1,RR6
20,1.13333333333333,2,28.1.C,1,FSP5
38,1.13333333333333,2,31.1.C,1,FSP34
38,1.1,1,32.1.C,1,FSP34
40,0.966666666666667,2,38.1.C,1,S179
48,1.11666666666667,1,39.1.C,1,S179
36,1.1,4,42.1.C,1,S151
44,1.13333333333333,2,43.1.C,1,S151
33,1.05,0.4,93.1.C,1,RR22
39,1,1,95.1.C,1,S179
39,1.1,2,99.1.C,1,S151
39,1.05,1,100.1.C,1,S151
25,1,1,111.1.C,1,FSP32
26,1.025,0.4,128.1.C,1,FSP5
37,1.075,2,134.1.C,1,RR31
43,1,4,23.1.C,1,RR6
31,1.1,2,24.1.C,1,RR6
38,1.1,4,27.1.C,1,FSP5
30,1.05,1,29.1.C,1,FSP5
47,1.2,4,30.1.C,1,FSP34
41,1.15,4,34.1.C,1,FSP25
14,1,0.6,40.1.C,1,S179
39,1.05,0.4,41.1.C,1,S179
46,1.05,1,44.1.C,1,S151
19,1,0.6,45.1.C,1,S151
37,1.1,0.4,46.1.C,1,S151
42,1.1,4,47.1.C,1,S166
41,1,2,48.1.C,1,S166
41,0.95,1,49.1.C,1,S166
16,1,0.6,50.1.C,1,S166
30,1,0.4,51.1.C,1,S166
33,1.05,4,52.1.C,1,S80
34,1.05,2,53.1.C,1,S80
31,1,1,54.1.C,1,S80
37,0.95,0.6,55.1.C,1,S80
35,0.95,0.4,56.1.C,1,S80
42,1,4,57.1.C,1,FSP32
34,0.95,1,59.1.C,1,FSP32
30,1,0.6,60.1.C,1,FSP32
28,0.95,0.4,61.1.C,1,FSP32
36,1,2,63.1.C,1,FSP25
32,1,1,64.1.C,1,FSP25
35,1,0.6,65.1.C,1,FSP25
36,1,0.4,66.1.C,1,FSP25
35,1,2,68.1.C,1,FSP34
37,1,1,69.1.C,1,FSP34
41,1.1,0.6,70.1.C,1,FSP34
41,1.05,0.4,71.1.C,1,FSP34
36,1.05,2,73.1.C,1,FSP5
28,1,1,74.1.C,1,FSP5
31,0.95,0.6,75.1.C,1,FSP5
38,1.05,2,78.1.C,1,RR6
37,1.05,1,79.1.C,1,RR6
35,1,0.6,80.1.C,1,RR6
39,1,0.4,81.1.C,1,RR6
42,1.1,4,82.1.C,1,RR31
39,1.05,2,83.1.C,1,RR31
37,1,1,84.1.C,1,RR31
33,1,0.6,85.1.C,1,RR31
31,1,0.4,86.1.C,1,RR31
40,1,2,88.1.C,1,RR87
42,1,2,90.1.C,1,RR22
40,1,1,91.1.C,1,RR22
47,1,0.6,92.1.C,1,RR22
